,Tweet,len,metrics,source
52,"@TheGridyJoker @scouttanmay But he completed uncharted 4, Spider-Man,horizon,spiderman Miles Morales and many more. Re7 is also on PC it's not ps exclusive chill out dude😂😂.",173,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
53,Yeah it's me!  #Spiderman  #PS4share https://t.co/pMR1WpzBlU,60,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",PlayStation®Network
54,spiderman sold me 1 kilo of white widow,39,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
55,spiderverse was my moms first spiderman movie can yall believe this 😭😭,70,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
56,Is that Spiderman assaulting someone on that cliff? https://t.co/OOGEh3wIse,75,"{'retweet_count': 2, 'reply_count': 10, 'like_count': 37, 'quote_count': 1}",Twitter Web App
57,@Mengo329 I know it doesn't have much but my dumb ape brain wants demon souls ratchet and clank and spiderman and I know.most fighting games are gonna be on it,159,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
58,@antifabussy This is so wonderful to see.  Your content is fucking amazing.  You really had me with the Spiderman Kisses.,121,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
59,nah spiderman miles morales was amazing,39,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
60,"so you may be asking "" didn't you just START the spiderman ps4 game yesterday quen?""   to which the answer is yes, but  i have no answer as to why i finished it   today.",169,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter Web App
61,@JezCorden Is @Rand_al_Thor_19 posting his spiderman pictures,61,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
62,@Dera_py • “With great power comes great responsibility.” -Spiderman #keepupthegoodwork #coderBot,97,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",h3bt
63,@gendergraves i never think about him that is not spiderman to me,65,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",TweetDeck
64,i can't even talk about spiderman because i know you morherfuckers just see that twink tom holland whenever i mention peter parker and that is simply not correct for the kinnie vision i have in my mind,201,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",Twitter for iPhone
65,"@AgainBilstar Ok Twitter didn't notify me of your reply. In answer to your questions, I got Demon Souls and Spiderman:  Miles Morales (finished Spiderman last night, and almost finished Demon Souls). I have played, completed and got all trophies for Astroboy.",259,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
66,I'd like to inform everyone that the song that plays when the credits roll in spiderman 2 (2004) is Vindicated by Dashboard Confessional,136,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter for Android
67,Yo spiderman needs some cranes boys! Let's do it for the red white and blue! Are ya with me?!,93,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
