,Tweet,len,metrics,source
267,"I had no idea Joaquin Phoenix was dancing to the song Rock n Roll Part 2 in the movie Joker.
I’ve never even seen the movie.",124,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
268,"@brian_shoots @DeadpoolakaDP @Alienorexium @MrNiceGuy18_58 Ok but Joker is better than every film in that saga. If you individually compare every film in the saga against joker, on a technical level Joker wins. Joker literally has the best villain than any other MCU movie and there is no ""villain"".",299,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
269,I need to watch The Joker movie...hopefully it’s on Netflix,59,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
270,@DRMovieNews1 Jared Leto has been the only movie Joker that I have not cared for to date. It wasn’t just his look.,114,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
271,Jared Leto's Joker will have a new road-weary look in Justice League https://t.co/Z2WUdzjwvI,92,"{'retweet_count': 5, 'reply_count': 2, 'like_count': 38, 'quote_count': 10}",dlvr.it
272,"@lofivampire It's true, but also a bit like saying Heath Ledger is a better joker than Ceasar Romero - which is also true but they're vastly different contexts.

Currywise is a glorious made for TV camp villain. Skarsgard's got the benefit of being in a real horror movie.",272,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 19, 'quote_count': 0}",Twitter for Android
273,"Moviebob 2019: Joker is a 4/10 movie. Anybody with a brain could see the twist that Arthur Flecks girlfriend is imaginary coming. In reality, she would obviously be creeped out and not want to associate with him.
Moviebob in 2020: https://t.co/azTHUEYcoF https://t.co/Gh51wuoJCx",278,"{'retweet_count': 32, 'reply_count': 5, 'like_count': 276, 'quote_count': 0}",Twitter Web App
274,@PetePepsi Damn Joker 2019 really is the most relevant movie about our society,78,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
275,"@Noahsquote I mean I prefer to see 1 good movie that is a moment and complete, instead 23 movies that are mostly making me to wait for another one and rarely bring closure , can you wait for another 10 years for the next conclusion or 20 ? If tomorrow I get Joker 2 good if not also good !",289,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
276,Jared Leto's Joker will have a new road-weary look in Justice League https://t.co/0uJTNgjGvQ,92,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
277,"@Noahsquote TDK , Joker, Man of Steel, Batman Begins, X-2 , Watchmen Tv series , The Boys, BVS, Logan , X Men DOFP, Batman 89, Iron Man, Guardians 1, Wonder Woman, Winter Soldier, Superman the movie , Avengers , Batman Returns , Watchmen movie, and can’t wait to see The Batman , ZSJL, TSS",289,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
278,@JimmyLevendia It's a joker movie in slowmo if vsccine didn't work. Which my gut feeling says is the magic bullet,113,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
279,@DRMovieNews1 Just don’t make him look like that stupid edgy new 52 joker with the ripped face. Terrible choice in the comics and would be a terrible choice for the movie. Just take out the grills and he’s fine.,211,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
280,@KieroniMacaroni @DAL_1427 Heard he's an inc3l like the Joker from Joker movie. Thoughts on 😺😸😹😻😼😽🙀😿😾 pain?,107,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
281,@CloutChaserN1 @realJacobAirey So Joker will be in the movie for four minutes max?,82,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
282,"@getFANDOM @Joker_Fleck @ComicBook_Movie Not for the whole movie, but I could live with it if they need to for a death scene, flashback, or something similar. Keep it as short as possible.",188,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
283,"@beyabean the joker movie itself, ironically",44,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
284,Watching the joker. This movie makes me so sad i just don’t understand why people were so mean to him for no reason. I’m never mean to people for no reason. Regardless of how the look or present themselves.,206,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
285,@dexterfilms_ Sure. Joker in most media sure. But the movie joker? Nah. He's a perfect example of mental health awareness. Yall act like he was a villain in that movie and he wasn't lmao,186,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
286,A Dec. 2019 striker dressed in clown make-up in emulation of the 'Joker' movie. https://t.co/mFYuglZ02v,103,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 34, 'quote_count': 0}",Twitter for Android
287,@MichaelKistNFL How neither Cage or Travolta were considered for a Joker movie will always confound me. https://t.co/pnliwrOv9C,127,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
288,"im glad im late to this movie, the Men Joker Fans won't find my letterboxd review hopefully",91,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
289,@LittleBlkDres @lindsaywise @gtconway3d Agreed. Reads like characters out of some apocalyptic/ Joker type movie 🎥  My other best friend  ..... Zuckerberg would belong some where in the middle of the pack. IMHO,209,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
290,14 November 2020 and The Joker is still the most overrated movie I've ever watched,82,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
291,if the joker could rap the movie would be an hour shorter,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
292,My 60yo dad started laughing as the joker after watching the movie😭😂 help,73,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
293,"@00_Gram @MadKing1981 I’m aware how the rest of the movie turned out, but that scene Joker won",94,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
294,Joker su TV Time https://t.co/iAeuX3B9l2 https://t.co/RHhmjfON7U,64,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
295,what! a! movie! #joker https://t.co/Fy8sHCuSVd,46,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
296,Danny just the joker movie,26,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",EMILYB0T
297,He would’ve KILLED it in the stand alone Joker movie 😭😭 https://t.co/aqqYBakPX2,79,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
298,"@RedElixier Honestly a bit tired of seeing the origin story time and again. My ideal would be a movie version of The Dark Knight Returns, with Clive Owen as an aging Bruce/Batman and Willem Defoe as Joker. Maybe someone like Millie Bobby Brown as Carrie Kelly Robin? https://t.co/y5UPc4ICY3",290,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
299,"Maybe the new joker is definitely cringe ?
That movie is “good” the way death stranding is “good” , but it doesn’t even have CLIFFORD",133,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
300,Warner Bros. Marketing Chief Blair Rich Reflects on ‘Joker’ Rollout: ‘We Always Believed in the Artistic Power of This Movie’ https://t.co/aTVilZnrS1 via @variety @MattDonnelly,176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",Twitter Web App
301,"Smooth transition: Japanese rubber mask maker dumps Trump, embraces Biden https://t.co/i3N3I36A1B 
Think movie bank robbers e.g. Pointbreak, the Joker's Nixon gang!",164,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
302,What’s y’all fav movie of all time? Mine def gotta be “joker”,61,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
303,I made up a whole movie once like it was the joker but a whole different story https://t.co/mXxJDuIJSt,102,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
304,I started being active on twitter the same day the joker movie came out,71,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter Web App
305,@DEADLINE This is amazing! Sony's cast for Bullet Train is stacking up &amp; she is gonna be a badass! I really liked her in both Joker &amp; Deadpool 2 so very excited to see more of Zazie Beetz. I hope she kicks some ass on this so crazy bullet train! This movie is gonna be so good &amp; so crazy!!! https://t.co/vI2ikAUlMh,326,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
306,That joker movie was good,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
307,".

I understand why he speaks of ""Joker"" that and ""society"" this. To think I didn't bring him to the movie theater, suspecting he'd sneak and watch the film.

Truly, we do live in a s",183,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",Twitter for Android
308,"@bat_heroes9078 @theSNYDERVERSE Ever read The Dark Knight Returns? Normal Joker, but with white suit. I'm not comparing Leto with movie versions, but with comic ones.",166,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
309,"@JJSmithPrime I think the Dark Knight is a nearly flawless movie.

That said, it is hard to put into words how much I agree with this assessment. Had similar conversations before.

Of course, if I'd been in charge the Joker would have still been 3. Played by Gordon Levitt.",273,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter for Android
310,Just watch the joker (2019) good movie,38,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
311,@KnightGambit Nothing says Justice League movie like Joker killing robin.,73,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
312,@DRMovieNews1 Just tone down the gang banger bs. He's a good actor and Suicide Squad left me wanting a Harley and Joker movie rather than the disjointed tidbits we got.,168,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
313,"@RettaSangili Yea man he tried his stuff out, uk it worked with joker failed a bit with bane, one thing is sure,if you want a peaceful life don't be a cbm movie director lol",173,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
